,epoch,len_data,metrics,scores
0,0,50,dice_coef,0.2151207625865936
1,1,50,dice_coef,0.2070550918579101
2,2,50,dice_coef,0.2045133411884308
3,3,50,dice_coef,0.2061242163181305
4,4,50,dice_coef,0.208146259188652
5,5,50,dice_coef,0.2108568847179412
6,6,50,dice_coef,0.2145800590515136
7,7,50,dice_coef,0.2168957144021988
8,8,50,dice_coef,0.217825710773468
9,9,50,dice_coef,0.2170373499393463
10,10,50,dice_coef,0.2201845496892929
11,11,50,dice_coef,0.2211953997611999
12,12,50,dice_coef,0.2218166887760162
13,13,50,dice_coef,0.2226554602384567
14,14,50,dice_coef,0.2243914306163787
15,15,50,dice_coef,0.2236344814300537
16,16,50,dice_coef,0.2243008315563202
17,17,50,dice_coef,0.2240571081638336
18,18,50,dice_coef,0.2243783622980117
19,19,50,dice_coef,0.2245033681392669
20,20,50,dice_coef,0.2244337648153305
21,21,50,dice_coef,0.2226781100034713
22,22,50,dice_coef,0.2223205715417862
23,23,50,dice_coef,0.2221158891916275
24,24,50,dice_coef,0.2230330854654312
25,25,50,dice_coef,0.2238610833883285
26,26,50,dice_coef,0.2245392501354217
27,27,50,dice_coef,0.2261690199375152
28,28,50,dice_coef,0.2265906780958175
29,29,50,dice_coef,0.2272534817457199
30,30,50,dice_coef,0.2256305664777755
31,31,50,dice_coef,0.2243455201387405
32,32,50,dice_coef,0.2246804237365722
33,33,50,dice_coef,0.225896880030632
34,34,50,dice_coef,0.22646065056324
35,35,50,dice_coef,0.2274940460920334
36,36,50,dice_coef,0.2279414385557174
37,37,50,dice_coef,0.2279081493616104
38,38,50,dice_coef,0.2275704592466354
39,39,50,dice_coef,0.2272547632455825
40,40,50,dice_coef,0.2275324463844299
41,41,50,dice_coef,0.2277235686779022
42,42,50,dice_coef,0.227977305650711
43,43,50,dice_coef,0.228079468011856
44,44,50,dice_coef,0.2282887548208236
45,45,50,dice_coef,0.2284016609191894
46,46,50,dice_coef,0.2286251038312912
47,47,50,dice_coef,0.2284183055162429
48,48,50,dice_coef,0.2284528315067291
49,49,50,dice_coef,0.2286414951086044
50,0,75,dice_coef,0.2069790810346603
51,1,75,dice_coef,0.2007110267877578
52,2,75,dice_coef,0.1983626037836074
53,3,75,dice_coef,0.2004496753215789
54,4,75,dice_coef,0.2049765586853027
55,5,75,dice_coef,0.2086928039789199
56,6,75,dice_coef,0.2111183851957321
57,7,75,dice_coef,0.2092497646808624
58,8,75,dice_coef,0.212763637304306
59,9,75,dice_coef,0.215545654296875
60,10,75,dice_coef,0.2157800495624542
61,11,75,dice_coef,0.2168136537075042
62,12,75,dice_coef,0.21708545088768
63,13,75,dice_coef,0.2173402458429336
64,14,75,dice_coef,0.2180563956499099
65,15,75,dice_coef,0.2192112654447555
66,16,75,dice_coef,0.2205330580472946
67,17,75,dice_coef,0.219853013753891
68,18,75,dice_coef,0.2197477966547012
69,19,75,dice_coef,0.2196889370679855
70,20,75,dice_coef,0.2192845344543457
71,21,75,dice_coef,0.2207187414169311
72,22,75,dice_coef,0.2214299440383911
73,23,75,dice_coef,0.2214021682739257
74,24,75,dice_coef,0.221369057893753
75,25,75,dice_coef,0.2217113077640533
76,26,75,dice_coef,0.221871480345726
77,27,75,dice_coef,0.2221337258815765
78,28,75,dice_coef,0.2221765667200088
79,29,75,dice_coef,0.2212538719177246
80,30,75,dice_coef,0.2216721624135971
81,31,75,dice_coef,0.2217198610305786
82,32,75,dice_coef,0.2213330268859863
83,33,75,dice_coef,0.2212560623884201
84,34,75,dice_coef,0.2212601751089096
85,35,75,dice_coef,0.2213506698608398
86,36,75,dice_coef,0.2216337174177169
87,37,75,dice_coef,0.2204024493694305
88,38,75,dice_coef,0.2207028120756149
89,39,75,dice_coef,0.2213581800460815
90,40,75,dice_coef,0.2222835123538971
91,41,75,dice_coef,0.2221250087022781
92,42,75,dice_coef,0.221535250544548
93,43,75,dice_coef,0.2225255519151687
94,44,75,dice_coef,0.2228313982486724
95,45,75,dice_coef,0.2229582071304321
96,46,75,dice_coef,0.2230729013681411
97,47,75,dice_coef,0.2231609970331192
98,48,75,dice_coef,0.2232382744550705
99,49,75,dice_coef,0.2234983444213867
100,0,100,dice_coef,0.2109692543745041
101,1,100,dice_coef,0.2013735175132751
102,2,100,dice_coef,0.2029522508382797
103,3,100,dice_coef,0.2091731131076812
104,4,100,dice_coef,0.2144859135150909
105,5,100,dice_coef,0.2157370001077652
106,6,100,dice_coef,0.2183413207530975
107,7,100,dice_coef,0.2196641564369201
108,8,100,dice_coef,0.2209201157093048
109,9,100,dice_coef,0.2206357568502426
110,10,100,dice_coef,0.2216809391975402
111,11,100,dice_coef,0.2228676527738571
112,12,100,dice_coef,0.2237715125083923
113,13,100,dice_coef,0.2248151153326034
114,14,100,dice_coef,0.2250916659832
115,15,100,dice_coef,0.2249466478824615
116,16,100,dice_coef,0.2244817614555359
117,17,100,dice_coef,0.2251937687397003
118,18,100,dice_coef,0.2256614416837692
119,19,100,dice_coef,0.2268742173910141
120,20,100,dice_coef,0.2272316515445709
121,21,100,dice_coef,0.22696353495121
