,epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall,len_data
0,0,0.2151207625865936,0.1205265447497367,0.5189923048019409,0.0001,0.9966551065444946,0.0935428813099861,0.2086057364940643,0.1164517849683761,0.6264524459838867,0.0,0.0,50
1,1,0.2070550918579101,0.1154881492257118,0.4192536473274231,0.0001,0.9999976754188538,0.0275948569178581,0.2039226293563842,0.1135405749082565,0.5727688670158386,0.0,0.0,50
2,2,0.2045133411884308,0.1139110997319221,0.3917753398418426,0.0001,1.0,0.0230528879910707,0.2001368105411529,0.1111982241272926,0.5388780832290649,0.0,0.0,50
3,3,0.2061242163181305,0.1149127483367919,0.3815919756889343,0.0001,1.0,0.0221187230199575,0.1967537254095077,0.1091133505105972,0.5146541595458984,0.0,0.0,50
4,4,0.208146259188652,0.1161753684282302,0.3765963613986969,0.0001,1.0,0.0219437219202518,0.1933742016553878,0.1070384830236435,0.4944012761116028,0.0,0.0,50
5,5,0.2108568847179412,0.1178618147969245,0.3738457858562469,0.0001,1.0,0.0229021403938531,0.1898157298564911,0.104862131178379,0.4755216538906097,0.0,0.0,50
6,6,0.2145800590515136,0.1201936230063438,0.3719383180141449,0.0001,1.0,0.0239762030541896,0.1862435638904571,0.1026860699057579,0.4592570662498474,0.0,0.0,50
7,7,0.2168957144021988,0.1216505840420723,0.3705336451530456,0.0001,1.0,0.0242500007152557,0.1827552765607834,0.1005693301558494,0.4467938542366028,0.0,0.0,50
8,8,0.217825710773468,0.122246116399765,0.3701411783695221,0.0001,1.0,0.0250002294778823,0.1798661947250366,0.0988222658634185,0.4386735558509826,0.0,0.0,50
9,9,0.2170373499393463,0.1217444837093353,0.3700304627418518,0.0001,1.0,0.0245533473789691,0.1757580339908599,0.0963475704193115,0.428947389125824,0.0,0.0,50
10,10,0.2201845496892929,0.1237309426069259,0.3688311874866485,0.0001,1.0,0.0249720849096775,0.1722314655780792,0.0942320153117179,0.4227235317230224,0.0,0.0,50
11,11,0.2211953997611999,0.12436393648386,0.3684351146221161,0.0001,1.0,0.0251806546002626,0.1682628393173217,0.0918611139059066,0.4163385331630707,0.0,0.0,50
12,12,0.2218166887760162,0.124761514365673,0.3682474792003631,0.0001,1.0,0.025585351511836,0.1647381037473678,0.0897639617323875,0.4121401906013489,0.0,0.0,50
13,13,0.2226554602384567,0.1252881735563278,0.3678763508796692,0.0001,1.0,0.0257370565086603,0.1618506759405136,0.0880519747734069,0.4095340371131897,0.0,0.0,50
14,14,0.2243914306163787,0.1263896971940994,0.3672323822975158,0.0001,1.0,0.0256598312407732,0.1591706722974777,0.0864677801728248,0.4077475666999817,0.0,0.0,50
15,15,0.2236344814300537,0.1259078979492187,0.367250382900238,0.0001,1.0,0.0254942141473293,0.1559457182884216,0.0845675989985466,0.4052023887634277,0.0,0.0,50
16,16,0.2243008315563202,0.1263289004564285,0.3673079907894134,0.0001,1.0,0.0258863363415002,0.1532834619283676,0.0830039829015731,0.4036178588867187,0.0,0.0,50
17,17,0.2240571081638336,0.126172199845314,0.3671746253967285,0.0001,1.0,0.0255797356367111,0.1510317027568817,0.0816849917173385,0.4020709097385406,0.0,0.0,50
18,18,0.2243783622980117,0.1263796836137771,0.3672230541706085,0.0001,1.0,0.0257911775261163,0.1488988846540451,0.0804385989904403,0.4011970162391662,0.0,0.0,50
19,19,0.2245033681392669,0.1264591962099075,0.3670448660850525,0.0001,1.0,0.0258385986089706,0.1470143347978592,0.0793397203087806,0.4010213911533355,1.0,5.745302473769698e-07,50
20,20,0.2244337648153305,0.1264162957668304,0.3669818937778473,0.0001,1.0,0.0259321611374616,0.1445620357990265,0.0779131278395652,0.4006749093532562,1.0,5.936812613072107e-06,50
21,21,0.2226781100034713,0.1253027617931366,0.3674534559249878,0.0001,1.0,0.0254810657352209,0.1427674293518066,0.0768715739250183,0.4006626009941101,1.0,6.1283230934350286e-06,50
22,22,0.2223205715417862,0.1250755488872528,0.3678043484687805,0.0001,1.0,0.0258086659014225,0.141306847333908,0.0760252848267555,0.4004907011985779,1.0,1.5320807733587571e-06,50
23,23,0.2221158891916275,0.1249438971281051,0.3677025437355041,0.0001,1.0,0.0256286859512329,0.1402713805437088,0.0754265487194061,0.4005922675132751,1.0,5.841057645739056e-05,50
