,Model,Process Date,metrics,scores,type
84,unet,2023.03.30-12.33.45,Recall,0.975609756097561,afm_optico
85,unet,2023.03.30-16.13.37,Recall,0.9395604395604396,afm_optico
86,unet,2023.03.30-17.34.33,Recall,0.9932885906040269,afm_optico
87,unet,2023.03.30-19.58.05,Recall,0.9506172839506172,afm_optico
88,unet,2023.03.30-19.58.41,Recall,0.6830601092896175,afm_optico
89,unet,2023.03.30-20.03.56,Recall,0.953125,afm_optico
90,unet,2023.03.30-20.04.42,Recall,0.9821428571428572,afm_optico
91,unet,2023.06.02-19.19.46,Recall,0.9242424242424242,afm_optico
92,unet,2023.06.02-19.22.04,Recall,1.0,afm_optico
93,unet,2023.06.02-19.22.49,Recall,1.0,afm_optico
94,unet,2023.06.02-19.23.39,Recall,0.9913793103448276,afm_optico
95,unet,2023.06.02-19.28.13,Recall,1.0,afm_optico
96,unet,2023.06.02-19.29.01,Recall,1.0,afm_optico
97,unet,2023.06.02-19.38.05,Recall,1.0,afm_optico
98,unet,2023.06.02-20.22.44,Recall,0.8951612903225806,afm_optico
99,unet,2023.06.02-20.23.50,Recall,0.8870967741935484,afm_optico
100,unet,2023.06.02-20.26.43,Recall,1.0,afm_optico
101,unet,2023.06.02-20.30.15,Recall,0.5641025641025641,afm_optico
102,unet,2023.06.02-20.31.45,Recall,0.9478260869565216,afm_optico
103,unet,2023.06.02-20.32.27,Recall,1.0,afm_optico
104,unet,2021.07.27-20.24.13,Precision,0.9689655172413794,afm_optico
105,unet,2022.04.09-22.15.32,Precision,0.845,afm_optico
106,unet,2023.03.26-07.00.18,Precision,0.9833333333333332,afm_optico
107,unet,2023.03.26-07.02.39,Precision,0.9788359788359788,afm_optico
108,unet,2023.03.26-11.25.23,Precision,0.8666666666666667,afm_optico
109,unet,2023.03.26-11.28.40,Precision,0.9732620320855616,afm_optico
110,unet,2023.03.26-15.52.33,Precision,0.822429906542056,afm_optico
111,unet,2023.03.26-15.53.37,Precision,0.9,afm_optico
112,unet,2023.03.26-18.43.02,Precision,0.9241379310344828,afm_optico
113,unet,2023.03.26-18.45.32,Precision,0.9015151515151516,afm_optico
114,unet,2023.03.26-18.56.14,Precision,0.7815533980582524,afm_optico
115,unet,2023.03.26-18.59.12,Precision,0.8461538461538461,afm_optico
116,unet,2023.03.26-19.01.32,Precision,0.928,afm_optico
117,unet,2023.03.26-22.54.06,Precision,0.9212598425196852,afm_optico
118,unet,2023.03.26-22.54.41,Precision,0.963157894736842,afm_optico
119,unet,2023.03.26-22.56.46,Precision,0.959349593495935,afm_optico
120,unet,2023.03.26-22.57.27,Precision,0.9894736842105264,afm_optico
121,unet,2023.03.28-22.27.27,Precision,0.7948717948717948,afm_optico
122,unet,2023.03.28-22.29.11,Precision,0.9657142857142856,afm_optico
123,unet,2023.03.28-22.40.02,Precision,0.9479166666666666,afm_optico
124,unet,2023.03.28-22.40.42,Precision,0.8666666666666667,afm_optico
125,unet,2023.03.28-22.41.32,Precision,0.7899159663865546,afm_optico
126,unet,2023.03.29-21.52.58,Precision,0.9316239316239316,afm_optico
127,unet,2023.03.29-21.54.34,Precision,0.0,afm_optico
128,unet,2023.03.29-21.57.23,Precision,0.8897058823529411,afm_optico
129,unet,2023.03.29-22.03.33,Precision,0.975609756097561,afm_optico
130,unet,2023.03.29-22.07.18,Precision,1.0,afm_optico
131,unet,2023.03.30-12.27.27,Precision,0.975609756097561,afm_optico
132,unet,2023.03.30-12.28.32,Precision,0.8461538461538461,afm_optico
133,unet,2023.03.30-12.29.32,Precision,0.8088235294117647,afm_optico
134,unet,2023.03.30-12.31.57,Precision,1.0,afm_optico
135,unet,2023.03.30-12.33.04,Precision,0.8879310344827587,afm_optico
136,unet,2023.03.30-12.33.45,Precision,0.8275862068965517,afm_optico
137,unet,2023.03.30-16.13.37,Precision,0.8952879581151832,afm_optico
138,unet,2023.03.30-17.34.33,Precision,0.8604651162790697,afm_optico
139,unet,2023.03.30-19.58.05,Precision,0.9221556886227544,afm_optico
140,unet,2023.03.30-19.58.41,Precision,0.9689922480620154,afm_optico
141,unet,2023.03.30-20.03.56,Precision,0.7770700636942676,afm_optico
142,unet,2023.03.30-20.04.42,Precision,0.8527131782945736,afm_optico
143,unet,2023.06.02-19.19.46,Precision,0.8187919463087249,afm_optico
144,unet,2023.06.02-19.22.04,Precision,0.8809523809523809,afm_optico
145,unet,2023.06.02-19.22.49,Precision,0.7761194029850746,afm_optico
146,unet,2023.06.02-19.23.39,Precision,0.7012195121951219,afm_optico
147,unet,2023.06.02-19.28.13,Precision,0.8524590163934426,afm_optico
148,unet,2023.06.02-19.29.01,Precision,0.6192893401015228,afm_optico
149,unet,2023.06.02-19.38.05,Precision,0.8106060606060606,afm_optico
150,unet,2023.06.02-20.22.44,Precision,0.9487179487179488,afm_optico
151,unet,2023.06.02-20.23.50,Precision,0.9734513274336284,afm_optico
152,unet,2023.06.02-20.26.43,Precision,0.831858407079646,afm_optico
153,unet,2023.06.02-20.30.15,Precision,0.7951807228915663,afm_optico
154,unet,2023.06.02-20.31.45,Precision,0.9159663865546218,afm_optico
155,unet,2023.06.02-20.32.27,Precision,0.7622377622377622,afm_optico
156,unet,2021.07.27-20.24.13,F1,0.9808027923211168,afm_optico
157,unet,2022.04.09-22.15.32,F1,0.7734553775743706,afm_optico
158,unet,2023.03.26-07.00.18,F1,0.7165991902834007,afm_optico
159,unet,2023.03.26-07.02.39,F1,0.9635416666666666,afm_optico
160,unet,2023.03.26-11.25.23,F1,0.8030888030888031,afm_optico
161,unet,2023.03.26-11.28.40,F1,0.8070953436807097,afm_optico
162,unet,2023.03.26-15.52.33,F1,0.8934010152284264,afm_optico
163,unet,2023.03.26-15.53.37,F1,0.9438202247191012,afm_optico
164,unet,2023.03.26-18.43.02,F1,0.9537366548042704,afm_optico
165,unet,2023.03.26-18.45.32,F1,0.937007874015748,afm_optico
166,unet,2023.03.26-18.56.14,F1,0.8773841961852862,afm_optico
167,unet,2023.03.26-18.59.12,F1,0.9103448275862068,afm_optico
168,unet,2023.03.26-19.01.32,F1,0.8169014084507042,afm_optico
169,unet,2023.03.26-22.54.06,F1,0.9551020408163264,afm_optico
170,unet,2023.03.26-22.54.41,F1,0.9081885856079404,afm_optico
171,unet,2023.03.26-22.56.46,F1,0.944,afm_optico
172,unet,2023.03.26-22.57.27,F1,0.9376558603491272,afm_optico
173,unet,2023.03.28-22.27.27,F1,0.8641114982578397,afm_optico
174,unet,2023.03.28-22.29.11,F1,0.9768786127167628,afm_optico
175,unet,2023.03.28-22.40.02,F1,0.9479166666666666,afm_optico
176,unet,2023.03.28-22.40.42,F1,0.9285714285714286,afm_optico
177,unet,2023.03.28-22.41.32,F1,0.8785046728971962,afm_optico
178,unet,2023.03.29-21.52.58,F1,0.9276595744680852,afm_optico
179,unet,2023.03.29-21.54.34,F1,0.0,afm_optico
180,unet,2023.03.29-21.57.23,F1,0.8864468864468864,afm_optico
181,unet,2023.03.29-22.03.33,F1,0.9592326139088728,afm_optico
182,unet,2023.03.29-22.07.18,F1,0.4883720930232558,afm_optico
183,unet,2023.03.30-12.27.27,F1,0.97165991902834,afm_optico
184,unet,2023.03.30-12.28.32,F1,0.8897058823529412,afm_optico
185,unet,2023.03.30-12.29.32,F1,0.8764940239043825,afm_optico
186,unet,2023.03.30-12.31.57,F1,0.898989898989899,afm_optico
187,unet,2023.03.30-12.33.04,F1,0.9155555555555556,afm_optico
188,unet,2023.03.30-12.33.45,F1,0.8955223880597015,afm_optico
189,unet,2023.03.30-16.13.37,F1,0.9168900804289544,afm_optico
190,unet,2023.03.30-17.34.33,F1,0.9221183800623052,afm_optico
191,unet,2023.03.30-19.58.05,F1,0.9361702127659574,afm_optico
192,unet,2023.03.30-19.58.41,F1,0.8012820512820512,afm_optico
193,unet,2023.03.30-20.03.56,F1,0.856140350877193,afm_optico
194,unet,2023.03.30-20.04.42,F1,0.9128630705394192,afm_optico
195,unet,2023.06.02-19.19.46,F1,0.8683274021352313,afm_optico
196,unet,2023.06.02-19.22.04,F1,0.9367088607594936,afm_optico
197,unet,2023.06.02-19.22.49,F1,0.8739495798319328,afm_optico
198,unet,2023.06.02-19.23.39,F1,0.8214285714285715,afm_optico
199,unet,2023.06.02-19.28.13,F1,0.9203539823008848,afm_optico
200,unet,2023.06.02-19.29.01,F1,0.7648902821316614,afm_optico
201,unet,2023.06.02-19.38.05,F1,0.895397489539749,afm_optico
202,unet,2023.06.02-20.22.44,F1,0.921161825726141,afm_optico
203,unet,2023.06.02-20.23.50,F1,0.9282700421940928,afm_optico
204,unet,2023.06.02-20.26.43,F1,0.9082125603864734,afm_optico
