,Model,model_len,Process Date,metrics,scores
81,unet,125 imagens,2023.03.30-12.33.04,Jaccard,0.8360655737704918
82,unet,125 imagens,2023.03.30-12.33.45,Jaccard,0.7721518987341772
83,unet,125 imagens,2023.03.30-16.13.37,Jaccard,0.8325358851674641
84,unet,125 imagens,2023.03.30-17.34.33,Jaccard,0.8314606741573034
85,unet,125 imagens,2023.03.30-19.58.05,Jaccard,0.7777777777777778
86,unet,125 imagens,2023.03.30-19.58.41,Jaccard,0.7351351351351352
87,unet,125 imagens,2023.03.30-20.03.56,Jaccard,0.8076923076923077
88,unet,125 imagens,2023.03.30-20.04.42,Jaccard,0.8943089430894309
89,unet,125 imagens,2023.06.02-19.19.46,Jaccard,0.7880794701986755
90,unet,125 imagens,2023.06.02-19.22.04,Jaccard,0.8314606741573034
91,unet,125 imagens,2023.06.02-19.22.49,Jaccard,0.8062015503875969
92,unet,125 imagens,2023.06.02-19.23.39,Jaccard,0.688622754491018
93,unet,125 imagens,2023.06.02-19.28.13,Jaccard,0.8188976377952756
94,unet,125 imagens,2023.06.02-19.29.01,Jaccard,0.580952380952381
95,unet,125 imagens,2023.06.02-19.38.05,Jaccard,0.7191780821917808
96,unet,125 imagens,2023.06.02-20.22.44,Jaccard,0.704
97,unet,125 imagens,2023.06.02-20.23.50,Jaccard,0.8064516129032258
98,unet,125 imagens,2023.06.02-20.26.43,Jaccard,0.7175572519083969
99,unet,125 imagens,2023.06.02-20.30.15,Jaccard,0.360655737704918
100,unet,125 imagens,2023.06.02-20.31.45,Jaccard,0.8740157480314961
101,unet,125 imagens,2023.06.02-20.32.27,Jaccard,0.7218543046357616
102,unet,75 imagens,2023.03.26-07.00.18,Jaccard,0.4235668789808917
103,unet,75 imagens,2023.03.26-07.02.39,Jaccard,0.8507462686567164
104,logisticRegression_proba,75 imagens,2023.03.26-11.25.23,Jaccard,0.4777777777777778
105,unet,75 imagens,2023.03.26-11.28.40,Jaccard,0.6127819548872181
106,unet,75 imagens,2023.03.26-15.52.33,Jaccard,0.8444444444444444
107,unet,75 imagens,2023.03.26-15.53.37,Jaccard,0.8732394366197183
